siblings;key;company_name;record_date;ex_date;annc_type;datepaid_payable;currency;value;tax;interest_start;interest_end; interest_rate;remarks;base;giving;price;before_consolidation;after_consolidation;particulars
19762;27496;POH TIONG CHOON LOGISTICS LTD;15 Sep 2016;13 Sep 2016;DIVIDEND;30 Sep 2016;SGD;0.0075;ONE-TIER TAX;;;;;;;;;;SGD 0.0075 ONE-TIER TAX
19762;27493;MEGACHEM LIMITED;14 Sep 2016;09 Sep 2016;DIVIDEND;30 Sep 2016;SGD;0.005;ONE-TIER TAX;;;;;;;;;;SGD 0.005 ONE-TIER TAX
19762;27444;PETROCHINA ADR 10;13 Sep 2016;08 Sep 2016;DIVIDEND;07 Nov 2016;USD;0.269132;None;;;;;;;;;;USD 0.269132
19762;27490;XMH HOLDINGS LTD.;13 Sep 2016;08 Sep 2016;DIVIDEND;23 Sep 2016;SGD;0.02;ONE-TIER TAX;;;;;;;;;;SGD 0.02 ONE-TIER TAX
19762;27505;AVJENNINGS LIMITED;09 Sep 2016;07 Sep 2016;DIVIDEND;23 Sep 2016;AUD;0.035;ONE-TIER TAX;;;;;;;;;;AUD 0.035 ONE-TIER TAX
19762;27539;'TAN CHONG INT''L LTD';09 Sep 2016;07 Sep 2016;DIVIDEND;26 Sep 2016;HKD;0.02;None;;;;;;;;;;HKD 0.02
19762;27489;BHG RETAIL REIT;08 Sep 2016;06 Sep 2016;DIVIDEND;21 Sep 2016;;;;;;;;;;;;;111215-300616 SGD 0.0285
19762;27481;GP BATTERIES INT LTD;08 Sep 2016;06 Sep 2016;DIVIDEND;21 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27472;KINGSMEN CREATIVES LTD;07 Sep 2016;05 Sep 2016;DIVIDEND;19 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27473;OCBCCAPCORP(2008) 5.1%NCPS 100;07 Sep 2016;05 Sep 2016;DIVIDEND;20 Sep 2016;;;;;;;;;;;;;200316 - 190916 5.1%
19762;27470;OKP HOLDINGS LIMITED;07 Sep 2016;05 Sep 2016;DIVIDEND;27 Sep 2016;SGD;0.005;ONE-TIER TAX;;;;;;;;;;SGD 0.005 ONE-TIER TAX
19762;27471;STAMFORD TYRES CORPORATIONLTD;07 Sep 2016;05 Sep 2016;DIVIDEND;19 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27460;GLOBAL TESTING CORPORATION LTD;06 Sep 2016;02 Sep 2016;DIVIDEND;30 Sep 2016;SGD;0.1;ONE-TIER TAX;;;;;;;;;;SGD 0.1 ONE-TIER TAX
19762;27619;VIBRANT GROUP LIMITED;06 Sep 2016;02 Sep 2016;DIVIDEND;20 Oct 2016;SCRIP SGD;0.018;ONE-TIER TAX;;;;;;;;;;SCRIP SGD 0.018 ONE-TIER TAX
19762;27512;CROESUS RETAIL TRUST;05 Sep 2016;01 Sep 2016;DIVIDEND;28 Sep 2016;;;;;;;;;;;;;0404-300616
19762;27456;ISHARES USD ASIA BOND ETF;05 Sep 2016;01 Sep 2016;DIVIDEND;30 Sep 2016;USD;0.11;None;;;;;;;;;;USD 0.11
19762;27457;ISHARES USD ASIA HY BOND ETF;05 Sep 2016;01 Sep 2016;DIVIDEND;30 Sep 2016;USD;0.18;None;;;;;;;;;;USD 0.18
19762;27458;SAIZEN REAL ESTATE INV TRUST;05 Sep 2016;01 Sep 2016;DIVIDEND;23 Sep 2016;SGD;0.075;TAX EXEMPT;;;;;;;;;;SGD 0.075 TAX EXEMPT
19762;27450;LEE METAL GROUP LTD;02 Sep 2016;31 Aug 2016;DIVIDEND;15 Sep 2016;SGD;0.005;ONE-TIER TAX;;;;;;;;;;SGD 0.005 ONE-TIER TAX
19762;27454;ZHONGMIN BAIHUI RETAIL GRP LTD;02 Sep 2016;31 Aug 2016;DIVIDEND;15 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27439;CAPTII LIMITED;01 Sep 2016;30 Aug 2016;DIVIDEND;13 Sep 2016;SGD;0.025;ONE-TIER TAX;;;;;;;;;;SGD 0.025 ONE-TIER TAX
19762;27613;CHINAMOBILE ADR 10;01 Sep 2016;30 Aug 2016;DIVIDEND;11 Oct 2016;USD;0.863856;None;;;;;;;;;;USD 0.863856
19762;27443;FIRST RESOURCES LIMITED;01 Sep 2016;30 Aug 2016;DIVIDEND;16 Sep 2016;SGD;0.00625;ONE-TIER TAX;;;;;;;;;;SGD 0.00625 ONE-TIER TAX
19762;27441;TAT SENG PACKAGING GROUP LTD;01 Sep 2016;30 Aug 2016;DIVIDEND;16 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27475;ABR HOLDINGS LIMITED;31 Aug 2016;29 Aug 2016;DIVIDEND;16 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27435;AZEUS SYSTEMS HOLDINGS LTD.;31 Aug 2016;29 Aug 2016;DIVIDEND;15 Sep 2016;SGD;0.0079;ONE-TIER TAX;;;;;;;;;;SGD 0.0079 ONE-TIER TAX
19762;27432;FIRST SPONSOR GROUP LIMITED;31 Aug 2016;29 Aug 2016;DIVIDEND;15 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27434;FU YU CORPORATION LTD;31 Aug 2016;29 Aug 2016;DIVIDEND;08 Sep 2016;SGD;0.0025;ONE-TIER TAX;;;;;;;;;;SGD 0.0025 ONE-TIER TAX
19762;27433;IREIT GLOBAL;31 Aug 2016;29 Aug 2016;DIVIDEND;16 Sep 2016;;;;;;;;;;;;;010116 - 300616 SGD 0.0318 TAX EXEMPT
19762;27485;NETEASE ADR 10;31 Aug 2016;29 Aug 2016;DIVIDEND;09 Sep 2016;USD;0.7775;None;;;;;;;;;;USD 0.7775
19762;27431;QAF LTD;31 Aug 2016;29 Aug 2016;DIVIDEND;14 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27428;LUNG KEE (BERMUDA) HLDGS LTD;30 Aug 2016;26 Aug 2016;DIVIDEND;14 Sep 2016;HKD;0.05;None;;;;;;;;;;HKD 0.05
19762;27429;LUNG KEE (BERMUDA) HLDGS LTD;30 Aug 2016;26 Aug 2016;DIVIDEND;14 Sep 2016;HKD;0.07;None;;;;;;;;;;HKD 0.07
19762;27415;HONG LEONG FINANCE LIMITED;29 Aug 2016;25 Aug 2016;DIVIDEND;16 Sep 2016;SGD;0.03;ONE-TIER TAX;;;;;;;;;;SGD 0.03 ONE-TIER TAX
19762;27425;TECKWAH INDUSTRIAL CORP LTD;29 Aug 2016;25 Aug 2016;DIVIDEND;09 Sep 2016;SGD;0.005;ONE-TIER TAX;;;;;;;;;;SGD 0.005 ONE-TIER TAX
19762;27399;CNMC GOLDMINE HOLDINGS LIMITED;26 Aug 2016;24 Aug 2016;DIVIDEND;08 Sep 2016;SGD;0.002;ONE-TIER TAX;;;;;;;;;;SGD 0.002 ONE-TIER TAX
19762;27413;DEL MONTE PACIFIC LIMITED;26 Aug 2016;24 Aug 2016;DIVIDEND;08 Sep 2016;USD;0.0133;None;;;;;;;;;;USD 0.0133
19762;27396;DELFI LIMITED;26 Aug 2016;24 Aug 2016;DIVIDEND;08 Sep 2016;SGD;0.0183;ONE-TIER TAX;;;;;;;;;;SGD 0.0183 ONE-TIER TAX
19762;27392;ISEC HEALTHCARE LTD.;26 Aug 2016;24 Aug 2016;DIVIDEND;08 Sep 2016;SGD;0.0022;ONE-TIER TAX;;;;;;;;;;SGD 0.0022 ONE-TIER TAX
19762;27522;JARDINE CYCLE & CARRIAGE LTD;26 Aug 2016;24 Aug 2016;DIVIDEND;06 Oct 2016;USD;0.18;ONE-TIER TAX;;;;;;;;;;USD 0.18 ONE-TIER TAX
19762;27394;NERATELECOMMUNICATIONS LTD;26 Aug 2016;24 Aug 2016;DIVIDEND;07 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27557;PRUDENTIAL PLC;26 Aug 2016;24 Aug 2016;DIVIDEND;06 Oct 2016;GBP;0.1293;TAX EXEMPT;;;;;;;;;;GBP 0.1293 TAX EXEMPT
19762;27388;CENTURION CORPORATION LIMITED;25 Aug 2016;23 Aug 2016;DIVIDEND;07 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27375;CSE GLOBAL LTD;25 Aug 2016;23 Aug 2016;DIVIDEND;16 Sep 2016;SGD;0.0125;ONE-TIER TAX;;;;;;;;;;SGD 0.0125 ONE-TIER TAX
19762;27387;NORDIC GROUP LIMITED;25 Aug 2016;23 Aug 2016;DIVIDEND;02 Sep 2016;SGD;0.005372;ONE-TIER TAX;;;;;;;;;;SGD 0.005372 ONE-TIER TAX
19762;27380;SARINE TECHNOLOGIES LTD;25 Aug 2016;23 Aug 2016;DIVIDEND;08 Sep 2016;USD;0.02;LESS TAX;;;;;;;;;;USD 0.02 LESS TAX
19762;27373;SERIAL SYSTEM LTD;25 Aug 2016;23 Aug 2016;DIVIDEND;09 Sep 2016;SGD;0.0018;ONE-TIER TAX;;;;;;;;;;SGD 0.0018 ONE-TIER TAX
19762;27391;SUPER GROUP LTD.;25 Aug 2016;23 Aug 2016;DIVIDEND;02 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27423;THAI BEVERAGE PUBLIC CO LTD;25 Aug 2016;23 Aug 2016;DIVIDEND;07 Sep 2016;THB;0.2;LESS TAX;;;;;;;;;;THB 0.2 LESS TAX
19762;27563;GLOBAL INVESTMENTS LIMITED;24 Aug 2016;22 Aug 2016;DIVIDEND;12 Oct 2016;SCRIP DIV SCH SGD;0.0075;ONE-TIER TAX;;;;;;;;;;SCRIP DIV SCH SGD 0.0075 ONE-TIER TAX
19762;27369;Q & M DENTAL GROUP (S) LIMITED;24 Aug 2016;22 Aug 2016;DIVIDEND;05 Sep 2016;SGD;0.0042;ONE-TIER TAX;;;;;;;;;;SGD 0.0042 ONE-TIER TAX
19762;27360;RAFFLES MEDICAL GROUP LTD;24 Aug 2016;22 Aug 2016;DIVIDEND;31 Aug 2016;SGD;0.005;ONE-TIER TAX;;;;;;;;;;SGD 0.005 ONE-TIER TAX
19762;27362;TRANSIT-MIXED CONCRETE LTD;24 Aug 2016;22 Aug 2016;DIVIDEND;09 Sep 2016;SGD;0.02;ONE-TIER TAX;;;;;;;;;;SGD 0.02 ONE-TIER TAX
19762;27358;TYE SOON LTD;24 Aug 2016;22 Aug 2016;DIVIDEND;07 Sep 2016;SGD;0.03724;ONE-TIER TAX;;;;;;;;;;SGD 0.03724 ONE-TIER TAX
19762;27359;TYE SOON LTD;24 Aug 2016;22 Aug 2016;DIVIDEND;07 Sep 2016;SGD;0.00861;ONE-TIER TAX;;;;;;;;;;SGD 0.00861 ONE-TIER TAX
19762;27368;WEE HUR HOLDINGS LTD.;24 Aug 2016;22 Aug 2016;DIVIDEND;05 Sep 2016;SGD;0.003;ONE-TIER TAX;;;;;;;;;;SGD 0.003 ONE-TIER TAX
19762;27352;BEST WORLD INTERNATIONAL LTD;23 Aug 2016;19 Aug 2016;DIVIDEND;08 Sep 2016;SGD;0.02;ONE-TIER TAX;;;;;;;;;;SGD 0.02 ONE-TIER TAX
19762;27354;CITY DEVELOPMENTS LIMITED;23 Aug 2016;19 Aug 2016;DIVIDEND;09 Sep 2016;SGD;0.04;ONE-TIER TAX;;;;;;;;;;SGD 0.04 ONE-TIER TAX
19762;27351;HAW PAR CORP LTD;23 Aug 2016;19 Aug 2016;DIVIDEND;02 Sep 2016;SGD;0.1;ONE-TIER TAX;;;;;;;;;;SGD 0.1 ONE-TIER TAX
